W,MFPT (ext),MFPT 0_1,Difference
0.01,0.2442311741635469,0.2339378625803819,0.010293311583164988
0.1,0.2448069577814913,0.2344739189658922,0.010333038815599105
1.0,0.2504415521845479,0.2397248763466334,0.010716675837914497
10.0,0.2965651042243178,0.2829832652807474,0.013581838943570401
100.0,0.435229567159161,0.4146572408828344,0.020572326276326602
1000.0,0.4970014134798098,0.4734711460347749,0.02353026744503489
10000.0,0.5048992388179543,0.4810039200815933,0.02389531873636097
