W,MFPT (ext),MFPT 0_0_1,Difference
0.01,0.244199113146516,0.2427798885376075,0.001419224608908476
0.1,0.2444867715590882,0.2430646958794045,0.0014220756796837208
1.0,0.2472816968836837,0.2458322486029611,0.001449448280722604
10.0,0.2688278905595027,0.2671847410168706,0.0016431495426320608
100.0,0.3203203970767838,0.3183106428993862,0.0020097541773975713
1000.0,0.3372387591625094,0.3351280345940914,0.0021107245684179876
10000.0,0.3391709769833576,0.3370496151570538,0.0021213618263037914
