W,MFPT (MD-2T),MFPT (MD-History),% Diff
0.01,0.233997559048818,0.2339919317252587,0.0024048642140427233
0.1,0.2350708652023857,0.2350651985524412,0.0024106134716540273
1.0,0.2456994170941673,0.2456931613286844,0.00254610513808606
10.0,0.3416642766513349,0.3416531376133893,0.0032602290338381657
100.0,0.7907388183201005,0.790707376498854,0.003976258723870139
1000.0,1.1768829564437089,1.1768406391139032,0.0035957126895197118
10000.0,1.2458305390612363,1.2457873799018258,0.0034642881240555096
