W,MFPT
0.01,0.23967095601223015
0.1,0.24078161287074168
1.0,0.2516955441018349
10.0,0.3443821430422856
100.0,0.6781655409798145
1000.0,0.8760091024022411
10000.0,0.9051190731182367
